,ShiftID,Assigned,ObjectTimeStart,ObjectTimeEnd,StartShift,EndShift,ShiftLength
0,4E41E5F0-D04C-4995-BDDF-14FCC0074A40_0,1.0,2022-01-03 05:00:00,2022-01-03 22:00:00,2022-01-03 16:00:00,2022-01-03 22:00:00,330.0
1,4E41E5F0-D04C-4995-BDDF-14FCC0074A40_1,1.0,2022-01-04 05:00:00,2022-01-04 22:00:00,2022-01-04 06:00:00,2022-01-04 14:00:00,450.0
2,4E41E5F0-D04C-4995-BDDF-14FCC0074A40_2,1.0,2022-01-05 05:00:00,2022-01-05 22:00:00,2022-01-05 06:00:00,2022-01-05 14:00:00,450.0
3,4E41E5F0-D04C-4995-BDDF-14FCC0074A40_3,1.0,2022-01-06 16:00:00,2022-01-06 22:00:00,2022-01-06 16:00:00,2022-01-06 22:00:00,330.0
4,4E41E5F0-D04C-4995-BDDF-14FCC0074A40_4,1.0,2022-01-07 05:00:00,2022-01-07 22:00:00,2022-01-07 05:00:00,2022-01-07 16:00:00,600.0
5,4E41E5F0-D04C-4995-BDDF-14FCC0074A40_5,1.0,2022-01-08 05:00:00,2022-01-08 22:00:00,2022-01-08 05:00:00,2022-01-08 16:00:00,630.0
6,4E41E5F0-D04C-4995-BDDF-14FCC0074A40_6,1.0,2022-01-09 10:00:00,2022-01-09 22:00:00,2022-01-09 14:00:00,2022-01-09 22:00:00,450.0
7,CCE6F1B0-DFCE-45BF-B2E5-D900ED20182C_0,1.0,2022-01-03 05:00:00,2022-01-03 22:00:00,2022-01-03 14:00:00,2022-01-03 22:00:00,450.0
8,CCE6F1B0-DFCE-45BF-B2E5-D900ED20182C_1,1.0,2022-01-04 05:00:00,2022-01-04 22:00:00,2022-01-04 14:00:00,2022-01-04 22:00:00,450.0
9,CCE6F1B0-DFCE-45BF-B2E5-D900ED20182C_2,1.0,2022-01-05 05:00:00,2022-01-05 22:00:00,2022-01-05 14:00:00,2022-01-05 22:00:00,450.0
10,CCE6F1B0-DFCE-45BF-B2E5-D900ED20182C_3,1.0,2022-01-06 16:00:00,2022-01-06 22:00:00,2022-01-06 16:00:00,2022-01-06 22:00:00,330.0
11,CCE6F1B0-DFCE-45BF-B2E5-D900ED20182C_4,1.0,2022-01-07 05:00:00,2022-01-07 22:00:00,2022-01-07 16:00:00,2022-01-07 22:00:00,330.0
12,CCE6F1B0-DFCE-45BF-B2E5-D900ED20182C_5,1.0,2022-01-08 05:00:00,2022-01-08 22:00:00,2022-01-08 14:00:00,2022-01-08 22:00:00,450.0
13,CCE6F1B0-DFCE-45BF-B2E5-D900ED20182C_6,1.0,2022-01-09 10:00:00,2022-01-09 22:00:00,2022-01-09 14:00:00,2022-01-09 22:00:00,450.0
14,E5D36EB9-0D94-4374-9ADA-8E1907388840_0,1.0,2022-01-03 05:00:00,2022-01-03 22:00:00,2022-01-03 16:00:00,2022-01-03 22:00:00,330.0
15,E5D36EB9-0D94-4374-9ADA-8E1907388840_1,1.0,2022-01-04 05:00:00,2022-01-04 22:00:00,2022-01-04 16:00:00,2022-01-04 22:00:00,330.0
16,E5D36EB9-0D94-4374-9ADA-8E1907388840_2,1.0,2022-01-05 05:00:00,2022-01-05 22:00:00,2022-01-05 16:00:00,2022-01-05 22:00:00,330.0
17,E5D36EB9-0D94-4374-9ADA-8E1907388840_3,1.0,2022-01-06 16:00:00,2022-01-06 22:00:00,2022-01-06 16:00:00,2022-01-06 22:00:00,330.0
18,E5D36EB9-0D94-4374-9ADA-8E1907388840_4,1.0,2022-01-07 05:00:00,2022-01-07 22:00:00,2022-01-07 05:00:00,2022-01-07 11:00:00,330.0
